Breed,Male,Female
Neapolitan Mastiff,Male: 150 lbs,Female: 110 lbs
Newfoundland,Male: 130-150 lbs,Female: 100-120 lbs
Norfolk Terrier,Male: 11-12 lbs,Female: 11-12 lbs
Norwegian Elkhound,Male: 55 lbs,Female: 48 lbs
Norwich Terrier,Male: 12 lbs,Female: 12 lbs
Nova Scotia Duck Tolling Retriever,Male: 45-52 lbs,Female: 35-42 lbs
Old English Sheepdog,Male: 70-90 lbs,Female: 60-80 lbs
Otterhound,Male: 115 lbs,Female: 80 lbs
Papillon,Male: 4-9 lbs,Female: 4-9 lbs
Parson Russell Terrier,Male: 13-17 lbs,Female: 13-17 lbs
Pekingese,Male: 8-14 lbs,Female: 8-14 lbs
Pembroke Welsh Corgi,Male: 27 lbs,Female: 25 lbs
Petit Basset Griffon Vendeen,Male: 25-35 lbs,Female: 25-35 lbs
Pharaoh Hound,Male: 45-55 lbs,Female: 45-55 lbs
Pit Bull,Male: 57-67 lbs,Female: 57-67 lbs
Plott,Male: 50-60 lbs,Female: 40-55 lbs
Pointer,Male: 55-75 lbs,Female: 45-65 lbs
Polish Lowland Sheepdog,Male: 30-35 lbs,Female: 30-35 lbs
Pomeranian,Male: 3-7 lbs,Female: 3-7 lbs
Poodle (Miniature),Male: 12-18 lbs,Female: 12-18 lbs
Poodle (Standard),Male: 45-65 lbs,Female: 45-65 lbs
Poodle (Toy),Male: 5-8 lbs,Female: 5-8 lbs
Portuguese Water Dog,Male: 42-60 lbs,Female: 35-50 lbs
Pug,Male: 14-18 lbs,Female: 14-18 lbs
Puli,Male: 25-35 lbs,Female: 25-35 lbs
Pumi,Male: 21-35 lbs,Female: 21-35 lbs
Rat Terrier,Male: 8-18 lbs,Female: 8-18 lbs
Redbone Coonhound,Male: 45-65 lbs,Female: 45-65 lbs
Rhodesian Ridgeback,Male: 85 lbs,Female: 70 lbs
Rottweiler,Male: 85-135 lbs,Female: 80-100 lbs
Saint Bernard,Male: 120-200 lbs,Female: 120-200 lbs
Saluki (or Gazelle Hound),Male: 35-65 lbs,Female: 35-65 lbs
Samoyed,Male: 45-65 lbs,Female: 35-50 lbs
Schipperke,Male: 12-16 lbs,Female: 10-14 lbs
Scottish Deerhound,Male: 85-110 lbs,Female: 75-95 lbs
Scottish Terrier,Male: 19-22 lbs,Female: 18-21 lbs
Sealyham Terrier,Male: 23-24 lbs,Female: 18-22 lbs
Shetland Sheepdog,Male: 20 lbs,Female: 20 lbs
Shiba Inu,Male: 23 lbs,Female: 17 lbs
Shih Tzu,Male: 9-16 lbs,Female: 9-16 lbs
Siberian Husky,Male: 45-60 lbs,Female: 35-50 lbs
Silky Terrier,Male: 8-11 lbs,Female: 8-11 lbs
Skye Terrier,Male: 35-40 lbs,Female: 25-30 lbs
Smooth Fox Terrier,Male: 17-19 lbs,Female: 15-17 lbs
Soft Coated Wheaten Terrier,Male: 35-40 lbs,Female: 30-35 lbs
Spinone Italiano,Male: 71-82 lbs,Female: 62-71 lbs
Standard Schnauzer,Male: 40-45 lbs,Female: 35-40 lbs
Sussex Spaniel,Male: 35-45 lbs,Female: 35-45 lbs
Tibetan Mastiff,Male: 90-150 lbs,Female: 80-110 lbs
Tibetan Spaniel,Male: 9-15 lbs,Female: 9-15 lbs
Tibetan Terrier,Male: 20-24 lbs,Female: 20-24 lbs
Toy Fox Terrier,Male: 4-7 lbs,Female: 4-7 lbs
Vizsla,Male: 45-65 lbs,Female: 45-65 lbs
Weimaraner,Male: 55-90 lbs,Female: 55-90 lbs
Welsh Springer Spaniel,Male: 35-50 lbs,Female: 35-50 lbs
Welsh Terrier,Male: 20 lbs,Female: 20 lbs
West Highland White Terrier,Male: 15-21 lbs,Female: 15-21 lbs
Whippet,Male: 20-40 lbs,Female: 20-40 lbs
Wire Fox Terrier,Male: 17-19 lbs,Female: 15-17 lbs
Wirehaired Pointing Griffon,Male: 50-60 lbs,Female: 50-60 lbs
Yorkshire Terrier (Yorkie),Male: 5-7 lbs,Female: 5-7 lbs
Domestic,Male: -50 lbs,Female: -50 lbs
